qid,docno,label
009,0367937,1
009,0429992,2
009,0513435,1
009,0571751,2
009,0582040,2
009,0595484,2
009,0853906,1
009,1113171,1
009,1352807,1
009,1373437,2
009,1382446,1
009,1544614,2
009,1584808,1
009,1672406,2
009,1708766,2
009,2540683,1
009,2544547,1
009,2548032,1
009,2572729,1
009,2719921,2
009,2913793,1
009,3159956,1
009,3168761,1
009,3179814,1
009,3296483,1
009,3322819,2
009,3331333,1
009,3496053,1
009,3496068,1
009,3496089,1
009,3496119,2
009,3746679,2
009,3844124,2
009,4440548,2
010,0198466,1
010,0270949,2
010,0352120,2
010,0448793,1
010,0661485,2
010,0796570,1
010,1007792,1
010,1061337,1
010,1081625,1
010,1086671,1
010,1201389,1
010,1591571,1
010,1672242,1
010,1695613,1
010,1892854,1
010,2457662,1
010,2861360,1
010,2932285,1
010,2932917,1
010,2933054,1
010,2983143,1
010,2990782,1
010,3634538,1
010,3823782,1
010,4074751,2
010,4123709,1
010,4291501,1
010,4292848,2
010,4331815,2
010,4402114,2
010,4402142,2
010,4402172,2
010,4402186,2
010,4402187,2
010,4402188,2
010,4402189,1
010,4402190,2
010,4402191,1
010,4402250,1
010,4402345,1
010,4402381,2
010,4402410,1
010,4466769,2
010,4466797,1
010,4540314,2
010,4545228,1
010,4546674,1
013,0449619,1
013,0458648,2
013,0949676,1
013,1565069,1
013,2365340,1
013,2619283,1
013,2658328,1
013,3309954,1
013,4161909,2
013,4163255,1
015,0420742,1
015,1203642,1
015,1357492,1
015,1426928,1
015,1426934,1
015,1653385,2
015,2765561,1
015,2944525,1
015,3048283,1
015,3130638,1
015,3136663,2
015,3136859,1
015,3360769,1
015,3837721,1
015,3837803,1
015,3837805,1
015,3837809,1
015,3837810,1
015,3837817,1
015,4282378,1
015,4342885,1
015,4443008,1
015,4529150,1
017,0222865,1
017,0290446,1
017,0337834,1
017,0398135,2
017,0955991,1
017,1030740,1
017,1049922,1
017,1311813,1
017,1311815,1
017,1311817,1
017,1311823,1
017,1311842,1
017,1311846,1
017,1370235,1
017,1500474,1
017,1517266,1
017,1659137,1
017,1687175,1
017,1687190,2
017,1838693,1
017,1851889,1
017,1852338,1
017,1859258,2
017,2206011,1
017,2405292,1
017,2546330,1
017,2586820,1
017,2601195,1
017,2736542,2
017,2816260,1
017,3087549,1
017,3088053,1
017,3099822,1
017,3200830,1
017,3293736,1
017,3296309,1
017,3299384,1
017,3356665,1
017,3375963,1
017,3422026,1
017,3422061,1
017,3491968,2
017,3491982,2
017,3870672,2
017,3874396,2
017,3874397,1
017,3875497,1
017,4063075,2
017,4094490,2
017,4095983,1
017,4160644,1
017,4160734,1
017,4160758,2
017,4195843,1
017,4281994,1
017,4364718,1
017,4364811,1
017,4609519,1
018,0224835,2
018,0225863,1
018,0229520,1
018,0229526,2
018,0231229,2
018,0234424,1
018,0257898,1
018,0257906,2
018,0258250,1
018,0259236,1
018,0294566,2
018,0329559,1
018,0330535,1
018,0332841,1
018,0337921,2
018,0344075,1
018,0347073,2
018,0357217,1
018,0383089,2
018,0383102,2
018,0383106,2
018,0383116,2
018,0384850,2
018,0397987,1
018,0405213,1
018,0417720,1
018,0418923,1
018,0420444,1
018,0424882,1
018,0430802,1
018,0437620,1
018,0450301,1
018,0457600,1
018,0457659,2
018,0460696,1
018,0460712,2
018,0471402,2
018,0526029,1
018,0540560,2
018,0540591,1
018,0723338,1
018,0725240,1
018,0731037,2
018,0737672,2
018,0779805,1
018,0784299,1
018,0785908,1
018,0786066,2
018,0786989,2
018,0787232,2
018,0788352,1
018,0793194,1
018,0810144,1
018,0811406,1
018,0812329,1
018,0840442,1
018,0847180,1
018,0848231,1
018,0848234,1
018,0848250,1
018,0855019,2
018,0864817,1
018,0893084,1
018,0907600,1
018,0913292,1
018,0933846,2
018,0945283,1
018,0960756,1
018,0966505,1
018,0974537,2
018,1023829,1
018,1023830,2
018,1023842,2
018,1023846,1
018,1023855,2
018,1026676,2
018,1029823,1
018,1029830,2
018,1032194,2
018,1042835,2
018,1042845,1
018,1042874,1
018,1048033,2
018,1066412,1
018,1073831,1
018,1090249,2
018,1115526,1
018,1116995,2
018,1154580,1
018,1154597,2
018,1181791,1
018,1191176,2
018,1197706,2
018,1198193,1
018,1231698,1
018,1245131,1
018,1246509,1
018,1273778,2
018,1284037,2
018,1284047,2
018,1284159,2
018,1284400,2
018,1362109,2
018,1362549,1
018,1362552,2
018,1362554,1
018,1366369,1
018,1366380,1
018,1366383,2
018,1366384,1
018,1366390,1
018,1370823,1
018,1379040,1
018,1379113,1
018,1379117,1
018,1379331,2
018,1390626,1
018,1390636,1
018,1390654,2
018,1390669,1
018,1390687,1
018,1390691,1
018,1390712,1
018,1390727,2
018,1390742,1
018,1390746,1
018,1390757,2
